environment,move_state_weight,fold,rows,log_loss,baseline_log_loss,delta_log_loss_vs_v05_raw,roc_auc,baseline_roc_auc,delta_roc_auc_vs_v05_raw,brier_score,baseline_brier_score,delta_brier_score_vs_v05_raw,ece_10,baseline_ece_10,delta_ece_10_vs_v05_raw,prediction_mean,baseline_prediction_mean,delta_prediction_mean_vs_v05_raw
V_seen,0.3,2,7001,0.5537916216862426,0.5419734178609484,0.011818203825294193,0.7338059763439648,0.7357877213837778,-0.0019817450398129655,0.18602492640524837,0.18140668405827262,0.004618242346975748,0.0753365617070968,0.05177586262675685,0.023560699080339947,0.703707734560572,0.7040355449694728,-0.00032781040890084157
V_seen,0.3,3,7001,0.5577978742583151,0.547015477442554,0.010782396815761097,0.7137993695538547,0.7192375879191929,-0.005438218365338199,0.18765159895386627,0.18363109582604759,0.004020503127818681,0.05835347749186663,0.03799844582454399,0.020355031667322644,0.7029168170370725,0.7034436096439471,-0.0005267926068746043
V_seen,0.3,4,6998,0.5624705050535825,0.5528975036741458,0.00957300137943673,0.7079895081820936,0.7129850482104493,-0.004995540028355672,0.1896678162937336,0.18585786300726148,0.0038099532864721286,0.06137101408998319,0.033378382175264745,0.027992631914718444,0.702948694309699,0.7032583601962331,-0.0003096658865341384
V_style,0.1,0,7123,0.538318487989774,0.5351025049907456,0.003215982999028366,0.7350891565660513,0.7349140181198334,0.0001751384462179706,0.17970273622851282,0.1785271493622482,0.0011755868662646218,0.05724549919819457,0.04684057115819487,0.010404928039999699,0.7147181223487047,0.7161534169831301,-0.001435294634425377
V_style,0.1,1,7018,0.5687163422381916,0.566037224504849,0.0026791177333426175,0.7141820335971524,0.714140671192708,4.136240444441164e-05,0.19271817320821447,0.19166379526177085,0.0010543779464436132,0.04905190158928382,0.04013128511990135,0.00892061646938247,0.691991522154266,0.6908284726109193,0.0011630495433466725
V_style,0.1,2,6925,0.5367197044926341,0.5338133903011327,0.0029063141915013357,0.724041136740377,0.7243971619761738,-0.00035602523579680856,0.17881019354353284,0.1777386907034015,0.0010715028401313276,0.05022871520331706,0.039825888758501765,0.010402826444815293,0.7164939741970482,0.7182407276642454,-0.0017467534671972151
V_style,0.1,3,7049,0.5625094205863728,0.5596179184882735,0.0028915020980992967,0.7182900639478036,0.7189657747975036,-0.0006757108496999731,0.19010326206242736,0.18896570797452128,0.0011375540879060841,0.04767375372833193,0.03989395187715926,0.00777980185117267,0.700099286448224,0.6997254690425788,0.0003738174056451271
V_style,0.1,4,6957,0.5515808427266262,0.548752122562127,0.002828720164499199,0.7214391544971297,0.7213668484335967,7.230606353303415e-05,0.18543588437627592,0.18441583768209438,0.0010200466941815423,0.04961712513260063,0.040300766630476915,0.009316358502123714,0.7051127632880704,0.7052738511073965,-0.00016108781932611116
V_style,0.2,0,7123,0.5421566736777668,0.5351025049907456,0.007054168687021134,0.7343611981978593,0.7349140181198334,-0.0005528199219740904,0.18114741849184068,0.1785271493622482,0.002620269129592484,0.06526906698171824,0.04684057115819487,0.018428495823523364,0.7132828277142796,0.7161534169831301,-0.002870589268850421
V_style,0.2,1,7018,0.5720621709811735,0.566037224504849,0.006024946476324566,0.7134776534216932,0.714140671192708,-0.00066301777101474,0.1940773497802446,0.19166379526177085,0.0024135545184737484,0.057965482493840925,0.04013128511990135,0.017834197373939577,0.6931545716976126,0.6908284726109193,0.002326099086693345
V_style,0.2,2,6925,0.5402728590519207,0.5338133903011327,0.006459468750787956,0.7229692339168547,0.7243971619761738,-0.001427928059319017,0.18015010464980538,0.1777386907034015,0.002411413946403873,0.058546360603055035,0.039825888758501765,0.01872047184455327,0.7147472207298512,0.7182407276642454,-0.0034935069343942082
V_style,0.2,3,7049,0.5660482945068098,0.5596179184882735,0.0064303760185363545,0.7167732274779397,0.7189657747975036,-0.0021925473195638645,0.19152038975050945,0.18896570797452128,0.0025546817759881657,0.05720534005851103,0.03989395187715926,0.01731138818135177,0.7004731038538692,0.6997254690425788,0.0007476348112903652
V_style,0.2,4,6957,0.5550188790505327,0.548752122562127,0.006266756488405689,0.7208281732195401,0.7213668484335967,-0.0005386752140565942,0.18673123210095466,0.18441583768209438,0.002315394418860278,0.057714883320417174,0.040300766630476915,0.017414116689940258,0.7049516754687442,0.7052738511073965,-0.00032217563865233334
V_style,0.3,0,7123,0.5465885476884689,0.5351025049907456,0.011486042697723242,0.7323465753437877,0.7349140181198334,-0.002567442776045703,0.18286119615223181,0.1785271493622482,0.004334046789983614,0.07246828648923342,0.04684057115819487,0.025627715331038553,0.711847533079854,0.7161534169831301,-0.00430588390327602
V_style,0.3,1,7018,0.576059926806809,0.566037224504849,0.010022702301960007,0.7115292121746908,0.714140671192708,-0.0026114590180171815,0.19574132497786118,0.19166379526177085,0.004077529716090322,0.06563571685395005,0.04013128511990135,0.025504431734048698,0.6943176212409591,0.6908284726109193,0.0034891486300397956
V_style,0.3,2,6925,0.5444301497560343,0.5338133903011327,0.010616759454901592,0.720700581535468,0.7243971619761738,-0.0036965804407057545,0.1817584240222191,0.1777386907034015,0.004019733318817581,0.06570606476441945,0.039825888758501765,0.025880176005917688,0.713000467262654,0.7182407276642454,-0.005240260401591423
V_style,0.3,3,7049,0.5702097791833934,0.5596179184882735,0.01059186069511997,0.7139324126941973,0.7189657747975036,-0.005033362103306294,0.1932170910387674,0.18896570797452128,0.004251383064246134,0.06189728636654002,0.03989395187715926,0.022003334489380764,0.7008469212595143,0.6997254690425788,0.0011214522169354924
V_style,0.3,4,6957,0.5590450083048079,0.548752122562127,0.010292885742680835,0.7191437097394582,0.7213668484335967,-0.0022231386941384823,0.18830188085613056,0.18441583768209438,0.00388604317403618,0.06597804640304833,0.040300766630476915,0.025677279772571414,0.7047905876494179,0.7052738511073965,-0.0004832634579785555
